code,station_name,latitude_deg,longitude_deg,mountpoint,ntrip_host,ntrip_port,data_format,constellation,ntrip_zone
COPR,COPR_SCGN_CS2001,34.414908655,-119.87951651277777,COPR_RTCM3,132.239.152.4,2104,RTCM 3.3,GNSS,5
COSO,China Lake,35.98234099666667,-117.80887755111111,COSO_RTCM3,132.239.152.4,2104,RTCM 3.3,GNSS,5
CRFP,Crafton Hills Co,34.039051110555555,-117.09967184444444,CRFP_RTCM3,132.239.152.4,2104,RTCM 3.3,GPS+GLONASS,5
CRGG,Crocker Grade,35.24209000138889,-119.72481006583334,CRGG_RTCM3,132.239.152.4,2104,RTCM 3.3,GNSS,5
CSDH,CSU Dominguez,33.8614782775,-118.25670830388889,CSDH_RTCM3,132.239.152.4,2104,RTCM 3.3,GPS+GLONASS,5
CSN1,CSU Northridge,34.25355057416667,-118.52380250777777,CSN1_RTCM3,132.239.152.4,2104,RTCM 3.3,GNSS,5
CTDM,CTDM_SCGN_CS2001,34.51654919972222,-118.61320061055555,CTDM_RTCM3,132.239.152.4,2104,RTCM 3.3,GNSS,5
CUHS,Cuyama Valley Hi,34.942646822777775,-119.67393849611112,CUHS_RTCM3,132.239.152.4,2104,RTCM 3.3,GPS+GLONASS,5
CVHS,Covina H.S.,34.08201115194445,-117.901707805,CVHS_RTCM3,132.239.152.4,2104,RTCM 3.3,GPS+GLONASS,5
DAM2,Pacoima Dam 2,34.3348356375,-118.39685475777779,DAM2_RTCM3,132.239.152.4,2104,RTCM 3.3,GPS+GLONASS,5
ELLY,LongBchBayCA2013,33.58349819944445,-118.12877576833333,ELLY_RTCM3,132.239.152.4,2104,RTCM 3.3,GNSS,5
ELTN,Elizabeth Lake T,34.703116433055555,-118.42571862611112,ELTN_RTCM3,132.239.152.4,2104,RTCM 3.3,GPS+GLONASS,5
FHOG,Forest Home,34.09354500194445,-116.93585670833333,FHOG_RTCM3,132.239.152.4,2104,RTCM 3.3,GNSS,5
FMTP,Fillmore Telepor,34.40986465222222,-118.89413379722222,FMTP_RTCM3,132.239.152.4,2104,RTCM 3.3,GPS+GLONASS,5
FOXG,Fox Airport 2 GP,34.733910632222226,-118.24048707277778,FOXG_RTCM3,132.239.152.4,2104,RTCM 3.3,GNSS,5
FZHS,Frazier Mountain,34.800192672777776,-118.89337003611112,FZHS_RTCM3,132.239.152.4,2104,RTCM 3.3,GNSS,5
GDEC,Goodwin Educatio,35.18941532638888,-119.86367070888889,GDEC_RTCM3,132.239.152.4,2104,RTCM 3.3,GNSS,5
GHRP,Glen Helen Regio,34.203888535555556,-117.39788417861112,GHRP_RTCM3,132.239.152.4,2104,RTCM 3.3,GPS+GLONASS,5
GMAG,Goat Mountain As,34.291431966666664,-116.38255281138888,GMAG_RTCM3,132.239.152.4,2104,RTCM 3.3,GPS+GLONASS,5
GMRC,GMRC_SCGN_CS1999,34.78399377277778,-115.66021605916667,GMRC_RTCM3,132.239.152.4,2104,RTCM 3.3,GNSS,5
GNPS,GNPS_SCGN_CS1999,34.30855249861111,-114.18943695,GNPS_RTCM3,132.239.152.4,2104,RTCM 3.3,GNSS,5
GVRS,Garvey Reservoir,34.047446996388885,-118.11288457444444,GVRS_RTCM3,132.239.152.4,2104,RTCM 3.3,GPS+GLONASS,5
HAR7,Harper Dry Lake,35.011538501666664,-117.29919863666666,HAR7_RTCM3,132.239.152.4,2104,RTCM 3.3,GNSS,5
HBCO,Harbor College,33.78364688,-118.28578565611112,HBCO_RTCM3,132.239.152.4,2104,RTCM 3.3,GPS+GLONASS,5
HOL3,Holcomb Ridge Si,34.45815438416667,-117.8451159761111,HOL3_RTCM3,132.239.152.4,2104,RTCM 3.3,GPS+GLONASS,5
I40A,I40A_SCGN_CS2000,34.72732110611111,-115.9114356138889,I40A_RTCM3,132.239.152.4,2104,RTCM 3.3,GNSS,5
IDQG,Granite Construction Indio,33.76797125527778,-116.23897204000001,IDQG_RTCM3,132.239.152.4,2104,RTCM 3.3,GNSS,5
IMPS,IMPS_SCGN_CS1999,34.157559489166665,-115.1450869588889,IMPS_RTCM3,132.239.152.4,2104,RTCM 3.3,GNSS,5
ISLK,ISLK_SCGN_CS1999,35.662268760277776,-118.47428905611112,ISLK_RTCM3,132.239.152.4,2104,RTCM 3.3,GNSS,5
JNHG,Juniper Hills,34.44906312138889,-117.95542681361111,JNHG_RTCM3,132.239.152.4,2104,RTCM 3.3,GNSS,5
